schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,assignments,assignments_update_members,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE (((m.user_id)::text = (auth.uid())::text) AND (COALESCE((m.org_id)::text, (m.org_id_uuid)::text, m.org_id_text) = COALESCE((assignments.organization_id)::text, (assignments.org_id)::text)))))","(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE (((m.user_id)::text = (auth.uid())::text) AND (COALESCE((m.org_id)::text, (m.org_id_uuid)::text, m.org_id_text) = COALESCE((assignments.organization_id)::text, (assignments.org_id)::text)))))"
public,assignments,assignments_insert_members,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE (((m.user_id)::text = (auth.uid())::text) AND (COALESCE((m.org_id)::text, (m.org_id_uuid)::text, m.org_id_text) = COALESCE((assignments.organization_id)::text, (assignments.org_id)::text)))))"
public,assignments,assignments_select_members,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE (((m.user_id)::text = (auth.uid())::text) AND (COALESCE((m.org_id)::text, (m.org_id_uuid)::text, m.org_id_text) = COALESCE((assignments.organization_id)::text, (assignments.org_id)::text)))))",null
public,audit_logs,audit_logs_service_role_all,PERMISSIVE,{public},ALL,(auth.role() = 'service_role'::text),(auth.role() = 'service_role'::text)
public,course_assignments,Authenticated users can update course assignments,PERMISSIVE,{authenticated},UPDATE,true,true
public,course_assignments,Authenticated users can read course assignments,PERMISSIVE,{authenticated},SELECT,true,null
public,course_assignments,Authenticated users can insert course assignments,PERMISSIVE,{authenticated},INSERT,null,true
public,course_assignments,Authenticated users can delete course assignments,PERMISSIVE,{authenticated},DELETE,true,null
public,courses,Anonymous users can read published courses,PERMISSIVE,{anon},SELECT,(status = 'published'::text),null
public,courses,Authenticated users can insert courses,PERMISSIVE,{authenticated},INSERT,null,true
public,courses,Courses admin manage,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE ((m.user_id = auth.uid()) AND (m.org_id = courses.organization_id) AND (m.role = ANY (ARRAY['admin'::text, 'editor'::text])))))","(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE ((m.user_id = auth.uid()) AND (m.org_id = courses.organization_id) AND (m.role = ANY (ARRAY['admin'::text, 'editor'::text])))))"
public,courses,Courses member read,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM organization_memberships m
  WHERE ((m.user_id = auth.uid()) AND (m.org_id = courses.organization_id))))",null
public,courses,Courses owner delete,PERMISSIVE,{authenticated},DELETE,(created_by = (auth.uid())::text),null
public,courses,Courses owner update,PERMISSIVE,{authenticated},UPDATE,(created_by = (auth.uid())::text),(created_by = (auth.uid())::text)
public,courses,Courses service role full access,PERMISSIVE,{service_role},ALL,true,true
public,courses,Authenticated users can update courses,PERMISSIVE,{authenticated},UPDATE,true,true
public,courses,org members manage courses,PERMISSIVE,{public},ALL,"(organization_id IN ( SELECT courses.organization_id
   FROM organization_memberships
  WHERE (organization_memberships.user_id = auth.uid())))",null
