schema,function
auth,email
auth,jwt
auth,role
auth,uid
extensions,armor
extensions,armor
extensions,crypt
extensions,dearmor
extensions,decrypt
extensions,decrypt_iv
extensions,digest
extensions,digest
extensions,encrypt
extensions,encrypt_iv
extensions,gen_random_bytes
extensions,gen_random_uuid
extensions,gen_salt
extensions,gen_salt
extensions,grant_pg_cron_access
extensions,grant_pg_graphql_access
extensions,grant_pg_net_access
extensions,hmac
extensions,hmac
extensions,hypopg
extensions,hypopg_create_index
extensions,hypopg_drop_index
extensions,hypopg_get_indexdef
extensions,hypopg_hidden_indexes
extensions,hypopg_hide_index
extensions,hypopg_relation_size
extensions,hypopg_reset
extensions,hypopg_reset_index
extensions,hypopg_unhide_all_indexes
extensions,hypopg_unhide_index
extensions,index_advisor
extensions,pg_stat_statements
extensions,pg_stat_statements_info
extensions,pg_stat_statements_reset
extensions,pgp_armor_headers
extensions,pgp_key_id
extensions,pgp_pub_decrypt
extensions,pgp_pub_decrypt
extensions,pgp_pub_decrypt
extensions,pgp_pub_decrypt_bytea
extensions,pgp_pub_decrypt_bytea
extensions,pgp_pub_decrypt_bytea
extensions,pgp_pub_encrypt
extensions,pgp_pub_encrypt
extensions,pgp_pub_encrypt_bytea
extensions,pgp_pub_encrypt_bytea
extensions,pgp_sym_decrypt
extensions,pgp_sym_decrypt
extensions,pgp_sym_decrypt_bytea
extensions,pgp_sym_decrypt_bytea
extensions,pgp_sym_encrypt
extensions,pgp_sym_encrypt
extensions,pgp_sym_encrypt_bytea
extensions,pgp_sym_encrypt_bytea
extensions,pgrst_ddl_watch
extensions,pgrst_drop_watch
extensions,set_graphql_placeholder
extensions,uuid_generate_v1
extensions,uuid_generate_v1mc
extensions,uuid_generate_v3
extensions,uuid_generate_v4
extensions,uuid_generate_v5
extensions,uuid_nil
extensions,uuid_ns_dns
extensions,uuid_ns_oid
extensions,uuid_ns_url
extensions,uuid_ns_x500
graphql,_internal_resolve
graphql,comment_directive
graphql,exception
graphql,get_schema_version
graphql,increment_schema_version
graphql,resolve
graphql_public,graphql
pgbouncer,get_auth
public,_sync_org_id_text_to_uuid
public,_sync_organization_id_text_to_uuid
public,assignments_org_id_sync
public,increment_document_download
public,is_uuid
public,modules_stamp_org
public,set_updated_at
public,try_uuid
public,upsert_course_full
realtime,apply_rls
realtime,broadcast_changes
realtime,build_prepared_statement_sql
realtime,cast
realtime,check_equality_op
realtime,is_visible_through_filters
realtime,list_changes
realtime,quote_wal2json
realtime,send
realtime,subscription_check_filters
realtime,to_regrole
realtime,topic
storage,can_insert_object
storage,delete_leaf_prefixes
storage,enforce_bucket_name_length
storage,extension
storage,filename
storage,foldername
storage,get_common_prefix
storage,get_level
storage,get_prefix
storage,get_prefixes
storage,get_size_by_bucket
storage,list_multipart_uploads_with_delimiter
storage,list_objects_with_delimiter
storage,operation
storage,protect_delete
storage,search
storage,search_by_timestamp
storage,search_legacy_v1
storage,search_v2
storage,update_updated_at_column
vault,_crypto_aead_det_decrypt
vault,_crypto_aead_det_encrypt
vault,_crypto_aead_det_noncegen
vault,create_secret
vault,update_secret
